,Source,Target,Weight,Type
1,AS07_RosenbaumDoktrin,AS10_sieben,1,undirected
2,AS07_RosenbaumDoktrin,AS10_zwei,3,undirected
3,AS07_RosenbaumDoktrin,AS11_einundzwanzig,3,undirected
4,AS07_RosenbaumDoktrin,AS11_fuenfzehn,2,undirected
5,AS07_RosenbaumDoktrin,AS11_zweiundzwanzig,3,undirected
6,AS10_acht,AS10_vier,6,undirected
7,AS10_acht,AS10_zwei,10,undirected
8,AS10_acht,AS10R_rueck1,1,undirected
9,AS10_acht,AS10R_rueck10,3,undirected
10,AS10_acht,AS10R_rueck3,2,undirected
11,AS10_acht,AS10R_rueck6,2,undirected
12,AS10_acht,AS11_fuenfzehn,5,undirected
13,AS10_acht,AS11_vierzehn,1,undirected
14,AS10_acht,AS12_dreissig,4,undirected
15,AS10_acht,AS12_einunddreissig,1,undirected
16,AS10_acht,AS12_fuenfundzwanzig,1,undirected
17,AS10_acht,AS12_siebenundzwanzig,1,undirected
18,AS10_acht,AS13_vierzig,1,undirected
19,AS10_daemmerung,AS10R_rueck1,1,undirected
20,AS10_daemmerung,AS10R_rueck10,2,undirected
21,AS10_daemmerung,AS10R_rueck6,3,undirected
22,AS10_daemmerung,AS10R_rueck7,1,undirected
23,AS10_daemmerung,AS12_fuenfundzwanzig,2,undirected
24,AS10_daemmerung,AS12_siebenundzwanzig,3,undirected
25,AS10_drei,AS10_eins,3,undirected
26,AS10_drei,AS10_vier,4,undirected
27,AS10_drei,AS10_zwei,4,undirected
28,AS10_drei,AS10R_rueck3,1,undirected
29,AS10_drei,AS11_einundzwanzig,8,undirected
30,AS10_drei,AS11_fuenfzehn,3,undirected
31,AS10_drei,AS11_vierzehn,2,undirected
32,AS10_drei,AS1112_dreiundzwanzig,1,undirected
33,AS10_drei,AS12_sechsundzwanzig,1,undirected
34,AS10_drei,AS12_siebenundzwanzig,4,undirected
35,AS10_drei,AS12_vierunddreissig,3,undirected
36,AS10_drei,AS1213_fuenfunddreissig,2,undirected
37,AS10_eins,AS10_drei,3,undirected
38,AS10_eins,AS10_zwei,2,undirected
39,AS10_eins,AS11_einundzwanzig,2,undirected
40,AS10_eins,AS12_achtundzwanzig,1,undirected
41,AS10_eins,AS12_siebenundzwanzig,4,undirected
42,AS10_elf,AS1011_zwölf,1,undirected
43,AS10_elf,AS12_vierunddreissig,3,undirected
44,AS10_elf,AS12_vierundzwanzig,5,undirected
45,AS10_elf,AS1213_fuenfunddreissig,3,undirected
46,AS10_fünf,AS10R_rueck2,1,undirected
47,AS10_fünf,AS11_zwanzig,4,undirected
48,AS10_fünf,AS12_sechsundzwanzig,3,undirected
49,AS10_fünf,AS13_siebenunddreissig,4,undirected
50,AS10_neun,AS10_sieben,1,undirected
51,AS10_neun,AS10_zehn,2,undirected
52,AS10_neun,AS10R_rueck2,2,undirected
53,AS10_neun,AS11_einundzwanzig,6,undirected
54,AS10_neun,AS11_zwanzig,5,undirected
55,AS10_outtake,AS10_Tschick,4,undirected
56,AS10_outtake,AS11_dreizehn,3,undirected
57,AS10_outtake,AS11_neunzehn,1,undirected
58,AS10_outtake,AS11_zwanzig,1,undirected
59,AS10_outtake,AS11_zweiundzwanzig,2,undirected
60,AS10_outtake,AS12_neunundzwanzig,2,undirected
61,AS10_sechs,AS10_sieben,3,undirected
62,AS10_sechs,AS10_vier,6,undirected
63,AS10_sechs,AS10R_rueck1,1,undirected
64,AS10_sechs,AS12_einunddreissig,2,undirected
65,AS10_sechs,AS12_siebenundzwanzig,2,undirected
66,AS10_sechs,AS13_vierzig,3,undirected
67,AS10_sieben,AS07_RosenbaumDoktrin,1,undirected
68,AS10_sieben,AS10_neun,1,undirected
69,AS10_sieben,AS10_sechs,3,undirected
70,AS10_sieben,AS10_vier,9,undirected
71,AS10_sieben,AS10_zehn,4,undirected
72,AS10_sieben,AS10_zwei,4,undirected
73,AS10_sieben,AS1011_zwölf,4,undirected
74,AS10_sieben,AS10R_rueck1,5,undirected
