,Source,Target,Weight,Type
1,AS10_acht,AS10_neun,3,undirected
2,AS10_acht,AS10_vier,11,undirected
3,AS10_acht,AS10_zwei,7,undirected
4,AS10_acht,AS10R_rueck1,1,undirected
5,AS10_acht,AS10R_rueck10,10,undirected
6,AS10_acht,AS11_fuenfzehn,2,undirected
7,AS10_acht,AS11_vierzehn,3,undirected
8,AS10_daemmerung,AS10R_rueck10,1,undirected
9,AS10_daemmerung,AS10R_rueck7,5,undirected
10,AS10_daemmerung,AS11_vierzehn,3,undirected
11,AS10_daemmerung,AS12_fuenfundzwanzig,4,undirected
12,AS10_daemmerung,AS12_siebenundzwanzig,1,undirected
13,AS10_drei,AS11_einundzwanzig,9,undirected
14,AS10_drei,AS11_fuenfzehn,6,undirected
15,AS10_drei,AS11_sechzehn,4,undirected
16,AS10_drei,AS12_vierunddreissig,1,undirected
17,AS10_drei,AS13_zweiunddreissig,1,undirected
18,AS10_eins,AS12_dreiunddreissig,10,undirected
19,AS10_eins,AS12_vierundzwanzig,6,undirected
20,AS10_eins,AS1213_fuenfunddreissig,5,undirected
21,AS10_eins,AS13_zweiunddreissig,1,undirected
22,AS10_elf,AS1011_zwölf,2,undirected
23,AS10_elf,AS11_sechzehn,2,undirected
24,AS10_elf,AS12_dreissig,7,undirected
25,AS10_elf,AS12_vierunddreissig,6,undirected
26,AS10_elf,AS12_vierundzwanzig,10,undirected
27,AS10_elf,AS12_zweiunddreissig,7,undirected
28,AS10_elf,AS1213_fuenfunddreissig,5,undirected
29,AS10_fünf,AS10R_rueck2,2,undirected
30,AS10_fünf,AS11_sechzehn,2,undirected
31,AS10_fünf,AS11_zwanzig,3,undirected
32,AS10_fünf,AS12_sechsundzwanzig,4,undirected
33,AS10_fünf,AS12_siebenundzwanzig,1,undirected
34,AS10_neun,AS10_acht,3,undirected
35,AS10_neun,AS10R_rueck2,6,undirected
36,AS10_neun,AS11_einundzwanzig,3,undirected
37,AS10_neun,AS11_zwanzig,4,undirected
38,AS10_neun,AS11_zweiundzwanzig,4,undirected
39,AS10_neun,AS13_achtunddreissig,1,undirected
40,AS10_neun,AS13_sechsunddreissig,1,undirected
41,AS10_outtake,AS10_vier,4,undirected
42,AS10_outtake,AS11_fuenfzehn,7,undirected
43,AS10_outtake,AS11_zwanzig,3,undirected
44,AS10_outtake,AS11_zweiundzwanzig,1,undirected
45,AS10_outtake,AS12_achtundzwanzig,1,undirected
46,AS10_outtake,AS12_dreissig,2,undirected
47,AS10_outtake,AS12_fuenfundzwanzig,1,undirected
48,AS10_outtake,AS12_neunundzwanzig,6,undirected
49,AS10_outtake,AS13_achtunddreissig,3,undirected
50,AS10_sechs,AS10_vier,2,undirected
51,AS10_sechs,AS10R_rueck1,3,undirected
52,AS10_sechs,AS10R_rueck5,3,undirected
53,AS10_sechs,AS11_dreizehn,1,undirected
54,AS10_sechs,AS12_vierunddreissig,2,undirected
55,AS10_sechs,AS13_siebenunddreissig,3,undirected
56,AS10_sieben,AS10_vier,3,undirected
57,AS10_sieben,AS13_einunddreissig,9,undirected
58,AS10_sieben,AS13_neununddreissig,3,undirected
59,AS10_sieben,AS13_sechsunddreissig,12,undirected
60,AS10_vier,AS10_acht,11,undirected
61,AS10_vier,AS10_outtake,4,undirected
62,AS10_vier,AS10_sechs,2,undirected
63,AS10_vier,AS10_sieben,3,undirected
64,AS10_vier,AS10R_rueck1,2,undirected
65,AS10_vier,AS10R_rueck3,1,undirected
66,AS10_vier,AS10R_rueck5,1,undirected
67,AS10_zehn,AS10R_rueck1,2,undirected
68,AS10_zehn,AS10R_rueck4,1,undirected
69,AS10_zehn,AS10R_rueck6,6,undirected
70,AS10_zehn,AS11_siebzehn,6,undirected
71,AS10_zwei,AS10_acht,7,undirected
72,AS10_zwei,AS11_einundzwanzig,2,undirected
73,AS10_zwei,AS11_sechzehn,1,undirected
74,AS10_zwei,AS12_vierundzwanzig,1,undirected
75,AS10_zwei,AS13_zweiunddreissig,5,undirected
76,AS1011_zwölf,AS10_elf,2,undirected
77,AS1011_zwölf,AS11_achtzehn,2,undirected
78,AS1011_zwölf,AS11_sechzehn,6,undirected
79,AS1011_zwölf,AS12_achtundzwanzig,2,undirected
80,AS1011_zwölf,AS13_achtunddreissig,4,undirected
81,AS1011_zwölf,AS13_neununddreissig,1,undirected
82,AS10R_rueck1,AS10_acht,1,undirected
83,AS10R_rueck1,AS10_sechs,3,undirected
84,AS10R_rueck1,AS10_vier,2,undirected
85,AS10R_rueck1,AS10_zehn,2,undirected
86,AS10R_rueck1,AS10R_rueck10,4,undirected
87,AS10R_rueck1,AS10R_rueck2,5,undirected
88,AS10R_rueck1,AS10R_rueck5,4,undirected
89,AS10R_rueck1,AS10R_rueck6,2,undirected
90,AS10R_rueck1,AS10R_rueck8,9,undirected
91,AS10R_rueck1,AS11_achtzehn,1,undirected
92,AS10R_rueck10,AS10_acht,10,undirected
93,AS10R_rueck10,AS10_daemmerung,1,undirected
94,AS10R_rueck10,AS10R_rueck1,4,undirected
95,AS10R_rueck10,AS10R_rueck5,1,undirected
96,AS10R_rueck10,AS10R_rueck6,3,undirected
97,AS10R_rueck10,AS12_achtundzwanzig,4,undirected
98,AS10R_rueck2,AS10_fünf,2,undirected
99,AS10R_rueck2,AS10_neun,6,undirected
100,AS10R_rueck2,AS10R_rueck1,5,undirected
101,AS10R_rueck2,AS10R_rueck8,3,undirected
102,AS10R_rueck2,AS10R_rueck9,1,undirected
103,AS10R_rueck3,AS10_vier,1,undirected
104,AS10R_rueck3,AS10R_rueck9,4,undirected
