"AS07_RosenbaumDoktrin" "AS10_acht" "AS10_daemmerung" "AS10_drei" "AS10_eins" "AS10_elf" "AS10_fünf" "AS10_neun" "AS10_outtake" "AS10_sechs" "AS10_sieben" "AS10_Tschick" "AS10_vier" "AS10_zehn" "AS10_zwei" "AS1011_zwölf" "AS10R_rueck1" "AS10R_rueck10" "AS10R_rueck2" "AS10R_rueck3" "AS10R_rueck4" "AS10R_rueck5" "AS10R_rueck6" "AS10R_rueck7" "AS10R_rueck8" "AS10R_rueck9" "AS11_achtzehn" "AS11_dreizehn" "AS11_einundzwanzig" "AS11_fuenfzehn" "AS11_neunzehn" "AS11_Sand" "AS11_sechzehn" "AS11_siebzehn" "AS11_vierzehn" "AS11_zwanzig" "AS11_zweiundzwanzig" "AS1112_dreiundzwanzig" "AS12_achtundzwanzig" "AS12_dreissig" "AS12_dreiunddreissig" "AS12_einunddreissig" "AS12_fuenfundzwanzig" "AS12_neunundzwanzig" "AS12_sechsundzwanzig" "AS12_siebenundzwanzig" "AS12_vierunddreissig" "AS12_vierundzwanzig" "AS12_zweiunddreissig" "AS1213_fuenfunddreissig" "AS13_achtunddreissig" "AS13_einunddreissig" "AS13_neununddreissig" "AS13_schluss" "AS13_sechsunddreissig" "AS13_siebenunddreissig" "AS13_vierzig" "AS13_zweiunddreissig"
"und" 2.43785850860421 2.82666666666667 3.88349514563107 2.47086247086247 3.05907172995781 1.90146931719965 3.29341317365269 1.93704600484262 3.3717834960071 2.74390243902439 2.4748322147651 3.92629962711121 2.81986531986532 2.2883295194508 2.26337448559671 2.11027910142954 3.50997935306263 2.91345329905741 3.76254180602007 1.62721893491124 3.68 4.05172413793103 3.60310421286031 3.52526439482961 3.55920602327173 1.82868142444658 2.05032618825722 2.0708446866485 2.66594124047878 3.05732484076433 2.03953561342956 3.13701098830997 2.29249011857708 1.78117048346056 2.20729366602687 2.57396449704142 2.45098039215686 1.81028240405503 3.59187922956793 3.68271954674221 2.61437908496732 2.19123505976096 1.84438040345821 2.37923576063446 3.46646571213263 2.80146163215591 3.18524727577536 2.63761467889908 2.57352941176471 1.8716577540107 2.17588395285585 2.56629597946963 1.44810941271118 0 2.25705329153605 2.69343780607248 2.03442879499218 1.86335403726708
"â" 0 0.533333333333333 0 1.21212121212121 1.26582278481013 0.518582541054451 0.449101796407186 0.484261501210654 1.59716060337178 0.182926829268293 0.75503355704698 3.23379187165105 0.694444444444444 0.83905415713196 1.08759553203998 0.340367597004765 0.75705437026841 0.599828620394173 0 0 1.12 0.689655172413793 1.16407982261641 1.17508813160987 0.54757015742642 0.962463907603465 0.372786579683131 0.871934604904632 1.19695321001088 0.573248407643312 0.815814245371823 3.14737731846961 0.711462450592885 0.508905852417303 0.191938579654511 0.798816568047337 0.350140056022409 1.01375814627082 0.260281103591879 0.56657223796034 1.69934640522876 0.332005312084993 0.69164265129683 0.793078586878154 0.226073850791258 0.609013398294763 0.251466890192791 0.917431192660551 0.245098039215686 0.53475935828877 0.543970988213962 0 0.321802091713596 0 0.438871473354232 0.342801175318315 0.469483568075117 3.1055900621118
"die" 2.77246653919694 2.08 4.85436893203883 2.37762237762238 2.32067510548523 5.09939498703544 1.94610778443114 2.25988700564972 2.75066548358474 1.95121951219512 2.09731543624161 1.97411713094977 2.42003367003367 2.2883295194508 2.29276895943563 2.04220558202859 1.72057811424639 2.22793487574979 2.4247491638796 1.77514792899408 2.24 1.46551724137931 1.88470066518847 3.40775558166863 2.7378507871321 1.92492781520693 2.56290773532153 2.23433242506812 1.87704026115343 1.71974522292994 2.22780043928459 2.41296269715963 2.60869565217391 3.05343511450382 2.7831094049904 2.48520710059172 2.10084033613445 2.38957277335264 2.86309213951067 2.97450424929178 2.48366013071895 1.79282868525896 2.2478386167147 2.09084354722423 2.03466465712133 2.80146163215591 2.09555741827326 2.29357798165138 2.94117647058824 3.07486631016043 1.54125113327289 1.71086398631309 1.60901045856798 0 1.75548589341693 1.61606268364349 1.25195618153365 2.0703933747412
"der" 2.10325047801147 2.08 1.45631067961165 2.51748251748252 2.32067510548523 4.58081244598099 1.79640718562874 2.50201775625504 2.04081632653061 1.58536585365854 1.76174496644295 1.66859900354088 2.16750841750842 1.906941266209 2.26337448559671 2.51872021783526 1.8582243633861 1.97086546700943 2.25752508361204 1.77514792899408 2.08 1.20689655172414 1.6629711751663 1.99764982373678 2.39561943874059 1.92492781520693 2.23671947809879 3.21525885558583 2.58433079434168 1.65605095541401 2.44744273611547 2.31727349568601 2.76679841897233 2.79898218829517 2.20729366602687 2.18934911242604 1.75070028011204 2.46198406951484 2.34252993232691 3.54107648725212 2.22222222222222 2.32403718459495 1.90201729106628 1.65825522710887 1.20572720422005 2.37515225334957 2.09555741827326 2.29357798165138 2.57352941176471 1.8716577540107 2.08522212148685 1.96749358426005 1.76991150442478 0 1.81818181818182 1.90989226248776 1.40845070422535 0.82815734989648
"ich" 1.0038240917782 2.18666666666667 4.36893203883495 2.42424242424242 3.05907172995781 0.691443388072602 2.9940119760479 2.17917675544794 2.12954747116238 3.35365853658537 3.22986577181208 2.93140726349763 3.21969696969697 2.82227307398932 2.58671369782481 2.99523485364193 4.19821059876118 3.68466152527849 4.26421404682274 3.99408284023669 5.76 5.3448275862069 4.43458980044346 4.93537015276146 5.74948665297741 4.1385948026949 3.07548928238583 1.74386920980926 1.74102285092492 2.10191082802548 2.10229055538124 0.617992759517089 2.05533596837945 3.18066157760814 1.53550863723608 1.53846153846154 2.24089635854342 2.89645184648805 3.17542946382093 1.8413597733711 2.48366013071895 3.32005312084993 1.38328530259366 1.22566690699351 2.03466465712133 3.22777101096224 1.34115674769489 0.344036697247706 2.81862745098039 1.20320855614973 3.08250226654578 4.27715996578272 3.21802091713596 0 3.69905956112853 3.42801175318315 2.8169014084507 4.1407867494824
"das" 2.82026768642447 1.33333333333333 1.45631067961165 0.745920745920746 0.632911392405063 1.46931719965428 0.898203592814371 0.887812752219532 1.77462289263531 1.82926829268293 1.3003355704698 1.55579231034375 1.15740740740741 1.06788710907704 1.41093474426808 1.49761742682097 1.34205092911218 0.942587832047986 1.00334448160535 1.77514792899408 1.28 1.12068965517241 1.16407982261641 0.235017626321974 1.43737166324435 1.05871029836381 1.25815470643057 1.63487738419619 1.08813928182807 1.59235668789809 0.878569187323502 1.41699759182176 1.18577075098814 1.65394402035623 1.15163147792706 1.30177514792899 1.19047619047619 1.15858073859522 1.40551795939615 1.69971671388102 2.22222222222222 1.72642762284197 0.979827089337176 2.01874549387167 1.20572720422005 0.913520097442144 0.754400670578374 0.688073394495413 0.735294117647059 1.33689839572193 1.63191296464189 1.36869118905047 1.60901045856798 0 1.37931034482759 0.832517140058766 1.25195618153365 1.65631469979296
"er" 0.239005736137667 0.746666666666667 0 0.41958041958042 0.210970464135021 0.259291270527226 0.149700598802395 0.484261501210654 0.266193433895297 0.121951219512195 0.335570469798658 1.0497289505844 0.631313131313131 0.30511060259344 0.382128159905938 0.204220558202859 0.275292498279422 0.0856898029134533 0.167224080267559 0.739644970414201 0.16 0.517241379310345 0.720620842572062 0.117508813160987 0.958247775496235 1.4436958614052 0.279589934762349 0.163487738419619 0.353645266594124 0.445859872611465 0.50203953561343 1.9648182702582 0.553359683794466 0 0.479846449136276 0.207100591715976 0.280112044817927 0.506879073135409 0.364393545028631 0.141643059490085 0.130718954248366 0.99601593625498 0.634005763688761 0.144196106705119 0.301431801055011 0.426309378806334 0.167644593461861 0 0.245098039215686 0.401069518716578 0.181323662737987 0.0855431993156544 0 0 0.313479623824451 0.342801175318315 0.312989045383412 0
"in" 0.908221797323136 1.54666666666667 2.9126213592233 1.11888111888112 0.738396624472574 1.90146931719965 1.94610778443114 1.85633575464084 1.15350488021295 1.52439024390244 1.51006711409396 0.944756055525961 1.40993265993266 1.22044241037376 1.2933568489124 0.884955752212389 1.37646249139711 1.88517566409597 1.83946488294314 1.62721893491124 1.44 1.55172413793103 1.60753880266075 2.11515863689777 1.30047912388775 1.82868142444658 1.49114631873253 1.41689373297003 1.4417845484222 1.27388535031847 1.28647631000941 1.28941198985694 1.58102766798419 0.89058524173028 1.34357005758157 1.44970414201183 1.47058823529412 1.30340333091962 0.780843310775638 1.8413597733711 1.17647058823529 1.46082337317397 1.4985590778098 1.36986301369863 1.50715900527506 1.58343483556638 1.00586756077117 0.688073394495413 1.47058823529412 0.935828877005348 1.17860380779692 0.855431993156544 1.12630732099759 0 1.44200626959248 0.979431929480901 1.72143974960876 1.0351966873706
"nicht" 1.5774378585086 0.96 0 0.979020979020979 1.26582278481013 0.691443388072602 0.449101796407186 1.53349475383374 1.68589174800355 0.853658536585366 1.76174496644295 1.41008366496412 1.32575757575758 1.37299771167048 1.32275132275132 1.42954390742001 1.10116999311769 1.54241645244216 0.919732441471572 0.443786982248521 0.32 1.98275862068966 1.27494456762749 1.17508813160987 1.57426420260096 1.05871029836381 1.35135135135135 1.68937329700272 1.30576713819369 0.955414012738854 1.28647631000941 1.01669776565715 0.790513833992095 1.78117048346056 0.767754318618042 1.24260355029586 1.5406162464986 1.37581462708182 1.3014055179594 0.991501416430595 0.784313725490196 0.730411686586985 1.4985590778098 1.94664744051911 0.979653353428787 0.609013398294763 0.922045264040235 1.26146788990826 0.612745098039216 0.802139037433155 1.81323662737987 1.53977758768178 1.52855993563958 0 2.13166144200627 1.12634671890304 1.40845070422535 1.86335403726708
"den" 0.525812619502868 1.01333333333333 0.970873786407767 1.02564102564103 1.16033755274262 0.777873811581677 1.79640718562874 1.37207425343019 0.532386867790595 1.64634146341463 0.922818791946309 1.00742644063548 0.883838383838384 0.61022120518688 0.705467372134039 1.29339686861811 0.997935306262904 1.02827763496144 1.75585284280936 0.443786982248521 1.12 1.20689655172414 1.33037694013304 1.29259694477086 1.36892539356605 1.4436958614052 0.745573159366263 0.926430517711172 1.19695321001088 0.955414012738854 1.12958895513022 1.26867932953766 1.10671936758893 0.89058524173028 1.63147792706334 1.42011834319527 0.420168067226891 1.23099203475742 0.884955752212389 0.84985835694051 0.915032679738562 1.59362549800797 1.03746397694524 1.36986301369863 0.904295403165034 1.21802679658953 1.0896898575021 0.344036697247706 0.857843137254902 0.935828877005348 0.634632819582956 0.684345594525235 0.724054706355591 6.66666666666667 1.00313479623824 0.783545543584721 1.25195618153365 1.44927536231884
